stn_id,month,status,http,code,rows,expected,elapsed_s,bytes,fetched_at,note
467530,2015-04,ok,200,200,720,720,0.69,1124167,2026-09-12T14:47:12,
467530,2015-05,ok,200,200,744,744,1.09,1162494,2026-09-12T14:47:14,
467530,2015-06,ok,200,200,720,720,0.89,1124832,2026-09-12T14:47:16,
467530,2015-07,ok,200,200,744,744,0.56,1162058,2026-09-12T14:47:18,
467530,2015-08,ok,200,200,744,744,1.36,1161965,2026-09-12T14:47:21,
467530,2015-09,ok,200,200,720,720,1.0,1124281,2026-09-12T14:47:23,
467530,2015-10,ok,200,200,744,744,1.08,1161489,2026-09-12T14:47:25,
467530,2015-11,ok,200,200,720,720,0.8,1123612,2026-09-12T14:47:27,
467530,2015-12,ok,200,200,744,744,0.53,1160754,2026-09-12T14:47:29,
467530,2016-01,ok,200,200,744,744,0.72,1160742,2026-09-12T14:47:31,
467530,2016-02,ok,200,200,696,696,0.8,1085853,2026-09-12T14:47:33,
467530,2016-03,ok,200,200,744,744,1.31,1161263,2026-09-12T14:47:35,
467530,2016-04,ok,200,200,720,720,0.86,1124254,2026-09-12T14:47:37,
467530,2016-05,ok,200,200,744,744,1.19,1162217,2026-09-12T14:47:40,
467530,2016-06,ok,200,200,720,720,2.77,1124884,2026-09-12T14:47:44,
467530,2016-07,ok,200,200,744,744,0.69,1162227,2026-09-12T14:47:46,
467530,2016-08,ok,200,200,744,744,1.19,1161972,2026-09-12T14:47:48,
467530,2016-09,ok,200,200,720,720,0.73,1124641,2026-09-12T14:47:50,
467530,2016-10,ok,200,200,744,744,0.86,1161568,2026-09-12T14:47:52,
467530,2016-11,ok,200,200,720,720,0.41,1123764,2026-09-12T14:47:54,
467530,2016-12,ok,200,200,744,744,1.12,1160678,2026-09-12T14:47:56,
467530,2017-01,ok,200,200,744,744,0.75,1160466,2026-09-12T14:47:58,
467530,2017-02,ok,200,200,672,672,0.64,1048423,2026-09-12T14:48:00,
467530,2017-03,ok,200,200,744,744,0.81,1161005,2026-09-12T14:48:02,
467530,2017-04,ok,200,200,720,720,0.72,1124576,2026-09-12T14:48:04,
467530,2017-05,ok,200,200,744,744,1.12,1162635,2026-09-12T14:48:06,
467530,2017-06,ok,200,200,720,720,0.75,1125023,2026-09-12T14:48:08,
467530,2017-07,ok,200,200,744,744,0.95,1162227,2026-09-12T14:48:10,
467530,2017-08,ok,200,200,744,744,0.47,1162140,2026-09-12T14:48:12,
467530,2017-09,ok,200,200,720,720,1.16,1124325,2026-09-12T14:48:14,
467530,2017-10,ok,200,200,744,744,0.64,1161131,2026-09-12T14:48:16,
467530,2017-11,ok,200,200,720,720,1.0,1123967,2026-09-12T14:48:18,
467530,2017-12,ok,200,200,744,744,0.88,1160494,2026-09-12T14:48:20,
467530,2018-01,ok,200,200,744,744,0.95,1160950,2026-09-12T14:48:22,
467530,2018-02,ok,200,200,672,672,1.2,1048557,2026-09-12T14:48:25,
467530,2018-03,ok,200,200,744,744,0.56,1160795,2026-09-12T14:48:27,
467530,2018-04,ok,200,200,720,720,1.05,1124195,2026-09-12T14:48:29,
467530,2018-05,ok,200,200,744,744,0.61,1162300,2026-09-12T14:48:31,
467530,2018-06,ok,200,200,720,720,0.69,1125300,2026-09-12T14:48:32,
467530,2018-07,ok,200,200,744,744,0.59,1162620,2026-09-12T14:48:34,
467530,2018-08,ok,200,200,744,744,1.31,1162332,2026-09-12T14:48:37,
467530,2018-09,ok,200,200,720,720,0.47,1124384,2026-09-12T14:48:38,
467530,2018-10,ok,200,200,744,744,0.88,1161437,2026-09-12T14:48:40,
467530,2018-11,ok,200,200,720,720,0.89,1123859,2026-09-12T14:48:43,
467530,2018-12,ok,200,200,744,744,1.5,1160935,2026-09-12T14:48:45,
467530,2019-01,ok,200,200,744,744,1.11,1160871,2026-09-12T14:48:48,
467530,2019-02,ok,200,200,672,672,0.69,1048361,2026-09-12T14:48:50,
467530,2019-03,ok,200,200,744,744,0.72,1161240,2026-09-12T14:48:51,
467530,2019-04,ok,200,200,720,720,0.62,1124528,2026-09-12T14:48:53,
467530,2019-05,ok,200,200,744,744,0.77,1163444,2026-09-12T14:48:55,
467530,2019-06,ok,200,200,720,720,0.67,1125331,2026-09-12T14:48:57,
467530,2019-07,ok,200,200,744,744,0.95,1162383,2026-09-12T14:48:59,
467530,2019-08,ok,200,200,744,744,0.48,1162969,2026-09-12T14:49:01,
467530,2019-09,ok,200,200,720,720,0.59,1124385,2026-09-12T14:49:03,
467530,2019-10,ok,200,200,744,744,0.73,1161313,2026-09-12T14:49:05,
467530,2019-11,ok,200,200,720,720,0.58,1123057,2026-09-12T14:49:06,
467530,2019-12,ok,200,200,744,744,1.02,1160984,2026-09-12T14:49:09,
467530,2020-01,ok,200,200,744,744,0.72,1160565,2026-09-12T14:49:11,
467530,2020-02,ok,200,200,696,696,0.62,1085673,2026-09-12T14:49:12,
467530,2020-03,ok,200,200,744,744,0.89,1161235,2026-09-12T14:49:14,
467530,2020-04,ok,200,200,720,720,0.69,1124048,2026-09-12T14:49:16,
467530,2020-05,ok,200,200,744,744,1.09,1162868,2026-09-12T14:49:19,
467530,2020-06,ok,200,200,720,720,0.72,1125032,2026-09-12T14:49:21,
467530,2020-07,ok,200,200,744,744,0.89,1162500,2026-09-12T14:49:23,
467530,2020-08,ok,200,200,744,744,0.59,1162509,2026-09-12T14:49:24,
467530,2020-09,ok,200,200,720,720,0.86,1124489,2026-09-12T14:49:27,
467530,2020-10,ok,200,200,744,744,0.72,1161537,2026-09-12T14:49:28,
467530,2020-11,ok,200,200,720,720,0.83,1123600,2026-09-12T14:49:30,
467530,2020-12,ok,200,200,744,744,0.81,1161320,2026-09-12T14:49:33,
467530,2021-01,ok,200,200,744,744,0.7,1160535,2026-09-12T14:49:34,
467530,2021-02,ok,200,200,672,672,0.64,1048306,2026-09-12T14:49:36,
467530,2021-03,ok,200,200,744,744,0.7,1161286,2026-09-12T14:49:38,
467530,2021-04,ok,200,200,720,720,0.66,1124285,2026-09-12T14:49:40,
467530,2021-05,ok,200,200,744,744,0.33,1162217,2026-09-12T14:49:42,
467530,2021-06,ok,200,200,720,720,0.78,1125834,2026-09-12T14:49:44,
467530,2021-07,ok,200,200,744,744,0.81,1162562,2026-09-12T14:49:46,
467530,2021-08,ok,200,200,744,744,1.01,1162945,2026-09-12T14:49:48,
467530,2021-09,ok,200,200,720,720,1.03,1124706,2026-09-12T14:49:50,
467530,2021-10,ok,200,200,744,744,0.86,1161788,2026-09-12T14:49:52,
467530,2021-11,ok,200,200,720,720,0.56,1123899,2026-09-12T14:49:54,
467530,2021-12,ok,200,200,744,744,0.92,1160676,2026-09-12T14:49:56,
467530,2022-01,ok,200,200,744,744,0.97,1161082,2026-09-12T14:49:58,
467530,2022-02,ok,200,200,672,672,0.66,1048928,2026-09-12T14:50:00,
467530,2022-03,ok,200,200,744,744,1.38,1162156,2026-09-12T14:50:03,
467530,2022-04,ok,200,200,720,720,0.84,1124814,2026-09-12T14:50:05,
467530,2022-05,ok,200,200,744,744,0.78,1163554,2026-09-12T14:50:07,
467530,2022-06,ok,200,200,720,720,0.88,1125625,2026-09-12T14:50:09,
467530,2022-07,ok,200,200,744,744,0.75,1162980,2026-09-12T14:50:11,
467530,2022-08,ok,200,200,744,744,0.77,1163298,2026-09-12T14:50:13,
467530,2022-09,ok,200,200,720,720,0.81,1125044,2026-09-12T14:50:15,
467530,2022-10,ok,200,200,744,744,1.25,1162321,2026-09-12T14:50:17,
467530,2022-11,ok,200,200,720,720,0.59,1124752,2026-09-12T14:50:19,
467530,2022-12,ok,200,200,744,744,0.83,1161318,2026-09-12T14:50:21,
467530,2023-01,ok,200,200,744,744,1.2,1158985,2026-09-12T14:34:20,
467530,2023-02,ok,200,200,672,672,0.77,1048512,2026-09-12T14:34:22,
467530,2023-03,ok,200,200,744,744,0.67,1159370,2026-09-12T14:34:23,
467530,2023-04,ok,200,200,720,720,1.02,1122890,2026-09-12T14:34:26,
467530,2023-05,ok,200,200,744,744,0.81,1161250,2026-09-12T14:34:28,
467530,2023-06,ok,200,200,720,720,0.83,1124312,2026-09-12T14:34:30,
467530,2023-07,ok,200,200,744,744,0.91,1161485,2026-09-12T14:34:32,
467530,2023-08,ok,200,200,744,744,0.64,1162017,2026-09-12T14:34:34,
467530,2023-09,ok,200,200,720,720,0.72,1123957,2026-09-12T14:34:36,
467530,2023-10,ok,200,200,744,744,0.92,1160769,2026-09-12T14:34:38,
467530,2023-11,ok,200,200,720,720,0.62,1122250,2026-09-12T14:34:40,
467530,2023-12,ok,200,200,744,744,0.84,1160324,2026-09-12T14:34:42,
467530,2024-01,ok,200,200,744,744,0.72,1158713,2026-09-12T14:34:43,
467530,2024-02,ok,200,200,696,696,1.05,1084727,2026-09-12T14:34:46,
467530,2024-03,ok,200,200,744,744,0.69,1160060,2026-09-12T14:34:48,
467530,2024-04,ok,200,200,720,720,0.91,1123419,2026-09-12T14:34:50,
467530,2024-05,ok,200,200,744,744,0.7,1161387,2026-09-12T14:34:52,
467530,2024-06,ok,200,200,720,720,0.56,1124047,2026-09-12T14:34:53,
467530,2024-07,ok,200,200,744,744,0.88,1161188,2026-09-12T14:34:55,
467530,2024-08,ok,200,200,744,744,0.52,1161260,2026-09-12T14:34:57,
