site,night,d_sunset_min,d_dusk_min,d_dawn_min,d_dark_h,d_illum
taipei,2008-09-17,1.1633414833333333,-0.008239216666666667,-0.007958433333333332,0.0,0.0
taipei,2008-09-01,1.1731617,-0.008106533333333334,-0.007873183333333334,0.0,0.0
taipei,2010-02-06,1.248887,0.0017106833333333333,0.0015972166666666668,0.0,0.0
taipei,2012-11-26,1.2997640166666666,0.0055723000000000005,0.0054831,0.0,0.0
taipei,2013-03-20,1.1851797333333332,0.0030957166666666664,0.002765933333333333,0.0,0.0
taipei,2019-05-02,1.2220081166666668,-0.0027277499999999993,-0.0028681500000000007,0.0,0.0
taipei,2021-07-02,1.28545445,-0.003019316666666666,-0.003069383333333333,0.0,0.0
taipei,2008-08-05,1.2192345666666666,-0.007965483333333334,-0.00797785,0.0,0.0
taipei,2020-08-02,1.2295304,-0.0038370666666666664,-0.003790649999999999,0.0,0.0
taipei,2012-06-16,1.2842819833333332,-0.010016666666666667,-0.010081416666666667,0.0,0.0
taipei,2024-01-22,1.2859971666666667,0.0007436333333333333,0.0007005333333333333,0.0,0.0
taipei,2022-07-29,1.2418922166666666,-0.0009173500000000002,-0.000997833333333333,0.0,0.0
taipei,2023-09-24,1.1722097833333334,-9.499999999999325e-06,0.0002813166666666667,0.0,0.0
taipei,2020-03-22,1.1781665333333333,-0.0035262666666666664,-0.0039134166666666675,0.0,0.0
