stn_id,month,var,q25,q50,q75
C0T790,7,dpd,0.15,0.63,2.98
C0T790,8,dpd,0.15,0.46,1.24
C0T790,9,dpd,0.15,0.46,1.25
C0T790,10,dpd,0.15,0.61,2.93
C0T790,11,dpd,0.15,0.89,4.4
C0T790,12,dpd,0.14,1.3,4.29
C0T790,1,t_air,0.6,2.7,5.0
C0T790,2,t_air,1.9,4.1,6.1
C0T790,3,t_air,3.9,5.9,7.6
C0T790,4,t_air,6.7,8.1,9.2
C0T790,5,t_air,8.9,10.0,10.9
C0T790,6,t_air,10.6,11.3,12.1
C0T790,7,t_air,10.8,11.6,12.3
C0T790,8,t_air,10.7,11.4,12.2
C0T790,9,t_air,9.9,10.8,11.6
C0T790,10,t_air,7.9,9.2,10.4
C0T790,11,t_air,5.7,7.5,8.9
C0T790,12,t_air,2.2,4.2,6.3
C0T790,1,wind,0.7,1.3,2.3
C0T790,2,wind,0.7,1.4,2.7
C0T790,3,wind,0.7,1.3,2.5
C0T790,4,wind,0.6,1.1,2.0
C0T790,5,wind,0.6,1.0,1.6
C0T790,6,wind,0.7,1.1,1.7
C0T790,7,wind,0.8,1.4,2.2
C0T790,8,wind,0.7,1.3,2.2
C0T790,9,wind,0.9,1.6,2.6
C0T790,10,wind,1.0,1.9,3.0
C0T790,11,wind,0.8,1.4,2.5
C0T790,12,wind,0.8,1.4,2.5
C0I530,1,rh,66.0,98.0,100.0
C0I530,2,rh,55.0,95.0,100.0
C0I530,3,rh,64.0,97.0,100.0
C0I530,4,rh,70.0,99.0,100.0
C0I530,5,rh,85.0,100.0,100.0
C0I530,6,rh,81.0,100.0,100.0
C0I530,7,rh,69.0,89.0,100.0
C0I530,8,rh,78.0,95.0,100.0
C0I530,9,rh,70.0,91.0,100.0
C0I530,10,rh,73.0,97.0,100.0
C0I530,11,rh,59.25,87.0,100.0
C0I530,12,rh,58.0,97.0,100.0
C0I530,1,dpd,0.0,0.24,5.08
C0I530,2,dpd,0.0,0.72,8.06
C0I530,3,dpd,0.0,0.42,6.12
C0I530,4,dpd,0.0,0.15,5.11
C0I530,5,dpd,0.0,0.0,2.38
C0I530,6,dpd,0.0,0.0,3.06
C0I530,7,dpd,0.0,1.74,5.54
C0I530,8,dpd,0.0,0.76,3.67
C0I530,9,dpd,0.0,1.42,5.18
C0I530,10,dpd,0.0,0.45,4.54
C0I530,11,dpd,0.0,1.98,7.4
C0I530,12,dpd,0.0,0.43,7.46
C0I530,1,t_air,-1.3,0.7,3.2
C0I530,2,t_air,0.6,2.7,4.2
C0I530,3,t_air,2.6,4.0,5.2
C0I530,4,t_air,5.0,6.3,7.3
C0I530,5,t_air,7.4,8.4,9.3
C0I530,6,t_air,9.1,9.9,10.7
C0I530,7,t_air,9.7,10.6,11.5
C0I530,8,t_air,9.8,10.4,11.05
C0I530,9,t_air,9.1,9.8,10.6
C0I530,10,t_air,7.3,8.5,9.7
C0I530,11,t_air,5.1,6.8,8.3
C0I530,12,t_air,1.6,3.4,5.4
C0I530,1,wind,4.3,6.0,7.7
C0I530,2,wind,5.0,6.3,7.7
C0I530,3,wind,4.6,6.1,7.6
C0I530,4,wind,4.3,5.7,7.1
C0I530,5,wind,3.8,5.3,6.5
C0I530,6,wind,3.5,5.4,6.9
C0I530,7,wind,2.0,3.6,5.6
C0I530,8,wind,2.1,3.7,5.4
C0I530,9,wind,2.0,3.4,5.3
C0I530,10,wind,2.2,3.8,5.8
C0I530,11,wind,2.8,4.3,6.1
C0I530,12,wind,3.6,5.3,6.9
C0I540,1,rh,52.5,99.0,100.0
C0I540,2,rh,59.0,98.0,100.0
C0I540,3,rh,73.0,100.0,100.0
C0I540,4,rh,71.0,99.0,100.0
C0I540,5,rh,71.0,100.0,100.0
C0I540,6,rh,80.0,100.0,100.0
C0I540,7,rh,74.0,94.0,100.0
C0I540,8,rh,82.0,97.0,100.0
C0I540,9,rh,71.75,90.0,100.0
C0I540,10,rh,68.0,95.0,100.0
C0I540,11,rh,61.0,90.0,100.0
C0I540,12,rh,41.0,87.0,100.0
C0I540,1,dpd,0.0,0.14,8.05
C0I540,2,dpd,0.0,0.24,7.0
C0I540,3,dpd,0.0,0.0,4.36
C0I540,4,dpd,0.0,0.12,4.8
C0I540,5,dpd,0.0,0.0,4.88
C0I540,6,dpd,0.0,0.0,3.28
C0I540,7,dpd,0.0,0.91,4.4
C0I540,8,dpd,0.0,0.45,2.92
C0I540,9,dpd,0.0,1.54,4.85
C0I540,10,dpd,0.0,0.74,5.51
C0I540,11,dpd,0.0,1.52,6.98
C0I540,12,dpd,0.0,1.92,11.96
C0I540,1,t_air,-2.4,0.5,2.8
C0I540,2,t_air,-0.8,1.3,2.8
C0I540,3,t_air,1.7,2.9,4.2
C0I540,4,t_air,3.4,4.8,5.8
